напиши sql запрос, который создает таблицу и вставляет в нее данные, но перед этим транспонируй таблицу и оставь только сами округа, остальное нужно убрать:

-	Количество организаций, единиц	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовре-менные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представи-тельские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
Республика Алтай	65 	459 815 495 	52 205 466 	51 878 950 	51 809 497 	46 405 	-	148 290 	-	-	-	1 100 	27 103 	-	-	-	-	-	86 944 	86 944 	17 726 	-	3 572 	-	14 037 	100 	132 472 	939 	9 016 	727 362 	92 004 	-
Республика Тыва	87 	75 685 739 	8 421 667 	8 339 949 	7 464 872 	7 249 	-	94 185 	11 435 	-	621 	-	63 066 	-	3 002 	45 	-	-	-	-	-	-	-	-	47 625 	4 716 	291 640 	-	6 387 	71 303 	21 728 	-
Республика Хакасия	268 	588 900 923 	25 981 043 	25 981 011 	25 135 004 	108 359 	230 617 	69 337 	1 290 	-	-	12 065 	-	-	21 211 	2 787 	-	-	15 791 	8 798 	-	-	-	-	430 705 	51 055 	651 374 	-	15 695 	277 586 	178 219 	-
Алтайский край	1 274 	2 705 205 664 	108 825 108 	107 645 372 	55 123 474 	124 719 	40 095 	1 021 992 	103 742 	-	14 322 	3 636 	-	255 	163 946 	3 914 	-	-	1 435 	-	-	-	-	-	518 885 	112 146 	645 074 	787 385 	173 997 	1 758 923 	6 219 396 	7 444 
Красноярский край 	1 422 	8 482 757 822 	1 607 778 647 	1 330 343 087 	696 423 750 	3 889 290 	4 918 375 	5 800 237 	212 675 	-	411 029 	176 611 	306 080 	342 216 	265 955 	10 130 	398 782 	58 286 	526 536 	34 181 	4 534 	300 	-	-	10 156 334 	2 068 076 	19 672 734 	7 824 448 	280 005 	5 274 163 	4 087 439 	-
Иркутская область	1 093 	5 277 947 813 	998 970 364 	799 853 011 	362 696 360 	1 979 688 	694 946 	1 973 961 	156 346 	-	222 016 	35 325 	15 854 	35 062 	446 092 	143 815 	320 343 	154 194 	75 212 	25 704 	128 154 	73 232 	157 878 	47 560 	3 159 442 	419 254 	2 693 818 	2 052 021 	390 430 	3 797 703 	2 239 775 	20 
Кемеровская область	973 	6 436 251 671 	447 921 161 	286 634 406 	244 641 673 	1 435 734 	98 549 	990 058 	115 202 	-	226 740 	76 126 	31 439 	743 	124 582 	16 456 	87 844 	-	89 716 	1 700 	58 827 	187 	-	-	5 888 241 	1 271 766 	7 910 693 	2 547 370 	254 877 	5 467 912 	3 428 136 	2 940 
Новосибирская область	2 391 	5 760 255 633 	302 389 794 	147 052 229 	130 949 111 	2 747 440 	665 611 	1 620 808 	402 084 	19 078 	224 285 	28 205 	-	66 417 	345 051 	74 728 	218 278 	178 663 	15 630 	3 634 	-	-	48 081 	10 097 	1 931 024 	320 229 	1 862 433 	5 693 570 	404 186 	7 346 667 	7 717 293 	67 413 
Омская область	868 	1 750 990 360 	162 237 499 	159 433 860 	138 488 012 	1 496 782 	360 028 	210 207 	15 	250 	41 937 	9 129 	-	4 109 	3 453 	198 	1 271 	1 120 	22 005 	-	2 837 	-	-	-	1 730 630 	122 183 	11 347 422 	-	142 537 	1 435 976 	1 134 142 	400 
Томская область	617 	2 394 005 131 	312 224 080 	283 381 636 	151 391 851 	1 313 642 	807 500 	967 127 	67 172 	-	-	49 413 	3 948 	28 691 	22 370 	2 077 	-	-	305 571 	100 791 	105 142 	35 609 	-	-	2 711 467 	374 835 	732 781 	30 583 059 	79 607 	27 023 766 	734 947 	6 647 
Дальневосточный федеральный округ	4 291 	20 537 324 525 	2 723 825 790 	2 486 759 483 	1 576 451 261 	3 983 368 	4 052 666 	18 612 503 	1 190 624 	-	556 199 	992 450 	549 042 	553 859 	1 624 213 	190 229 	348 540 	76 885 	647 007 	62 264 	1 033 622 	170 045 	486 116 	103 341 	16 261 697 	1 147 542 	23 636 946 	2 234 003 	832 258 	18 778 924 	10 183 465 	243 323 
Республика Бурятия	246 	638 227 574 	57 329 692 	51 882 241 	34 064 259 	76 018 	158 145 	874 954 	191 998 	-	46 495 	9 397 	8 590 	-	209 798 	398 	3 265 	1 849 	-	-	-	-	9 832 	9 832 	444 990 	97 522 	1 281 345 	-	53 440 	655 203 	267 609 	4 945 
Республика Саха (Якутия)	485 	3 308 359 638 	605 422 543 	553 956 866 	246 949 923 	1 080 033 	488 204 	5 849 715 	390 814 	-	72 942 	512 183 	47 365 	211 198 	598 102 	103 054 	45 252 	16 924 	364 358 	14 192 	215 924 	103 656 	245 815 	11 966 	6 669 500 	162 440 	12 315 121 	260 058 	209 487 	2 592 510 	4 605 374 	199 374 
Забайкальский край	342 	1 353 493 698 	172 275 435 	169 984 626 	142 626 862 	287 106 	692 815 	3 607 162 	363 	-	63 390 	533 	481 109 	42 841 	4 886 	1 331 	252 307 	51 953 	68 026 	14 261 	39 393 	36 986 	214 528 	80 033 	1 042 939 	93 282 	2 474 165 	1 836 324 	83 853 	1 242 654 	458 521 	15 658 
Камчатский край	245 	943 383 765 	58 475 577 	54 072 646 	41 795 926 	168 981 	192 355 	399 361 	-	-	32 254 	57 343 	-	82 	1 141 	1 141 	-	-	5 866 	2 307 	-	-	-	-	457 103 	30 247 	751 680 	1 571 	28 672 	1 024 646 	463 623 	370 
Приморский край	1 117 	4 806 256 455 	471 212 731 	425 325 255 	121 150 526 	1 434 991 	1 988 226 	609 784 	56 317 	-	36 300 	34 153 	8 434 	12 984 	87 176 	15 684 	29 132 	6 159 	14 368 	4 220 	11 358 	6 342 	15 941 	1 510 	1 352 713 	177 926 	2 439 198 	129 709 	177 830 	7 002 331 	2 806 228 	11 743 
Хабаровский край	831 	2 999 942 818 	294 935 842 	288 203 777 	284 345 890 	457 175 	140 639 	2 436 010 	335 506 	-	304 818 	169 195 	-	286 754 	962 	962 	18 360 	-	63 775 	24 469 	650 054 	2 220 	-	-	1 857 497 	173 891 	1 844 960 	6 274 	119 742 	2 069 185 	735 438 	9 578 
Амурская область	280 	1 735 403 408 	601 209 695 	541 167 859 	425 763 028 	290 175 	123 786 	3 058 292 	128 205 	-	-	43 371 	109 	-	-	-	224 	-	184 	59 	745 	739 	-	-	1 365 287 	105 928 	439 048 	67 	25 154 	1 566 180 	317 500 	-
Магаданская область	185 	917 394 287 	129 595 825 	124 402 352 	58 063 414 	84 325 	162 147 	194 688 	-	-	-	79 607 	3 107 	-	1 013 	-	-	-	-	-	99 476 	4 347 	-	-	1 317 966 	43 011 	1 229 759 	-	46 189 	1 025 001 	106 739 	49 
Сахалинская область	389 	2 894 240 350 	178 724 004 	127 895 978 	120 625 069 	91 380 	30 993 	1 194 887 	67 698 	-	-	72 957 	328 	-	714 739 	61 263 	-	-	128 302 	628 	16 109 	15 755 	-	-	1 148 478 	243 915 	656 483 	-	81 526 	1 037 683 	311 384 	1 606 
Еврейская автономная область	70 	58 892 765 	8 369 430 	8 369 430 	8 066 265 	8 592 	18 273 	237 618 	19 723 	-	-	1 151 	-	-	6 396 	6 396 	-	-	1 916 	1 916 	563 	-	-	-	18 839 	3 016 	21 202 	-	4 083 	125 694 	46 189 	-
Чукотский автономный округ	101 	881 729 767 	146 275 016 	141 498 453 	93 000 099 	4 592 	57 083 	150 032 	-	-	-	12 560 	-	-	-	-	-	-	212 	212 	-	-	-	-	586 385 	16 364 	183 985 	-	2 282 	437 837 	64 860 	-
